"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-25 14:53:00","ENA","Close Short","Fulfill Maker","10485 ENA","0.27718","$2,906.23","$0.44","-$88.07"
"2025-11-25 14:51:05","ENA","Close Short","Fulfill Maker","10000 ENA","0.27791","$2,779.1","$0.42","-$91.3"
"2025-11-25 14:50:11","ENA","Close Short","Fulfill Maker","332 ENA","0.27732","$92.07","$0.01","-$2.84"
"2025-11-25 14:50:11","ENA","Close Short","Fulfill Maker","4000 ENA","0.27732","$1,109.28","$0.17","-$34.16"
"2025-11-25 14:50:11","ENA","Close Short","Fulfill Maker","4000 ENA","0.27732","$1,109.28","$0.17","-$34.16"
"2025-11-25 14:50:09","ENA","Close Short","Fulfill Maker","1668 ENA","0.27732","$462.57","$0.07","-$14.24"
"2025-11-25 14:45:42","ENA","Close Short","Fulfill Maker","8321 ENA","0.27591","$2,295.85","$0.34","-$59.32"
"2025-11-25 14:45:42","ENA","Close Short","Fulfill Maker","1679 ENA","0.27591","$463.25","$0.07","-$11.97"
"2025-11-25 14:44:01","ENA","Close Short","Fulfill Maker","860 ENA","0.27672","$237.98","$0.04","-$6.83"
"2025-11-25 14:43:57","ENA","Close Short","Fulfill Maker","1668 ENA","0.27672","$461.57","$0.07","-$13.24"
"2025-11-25 14:43:57","ENA","Close Short","Fulfill Maker","4185 ENA","0.27672","$1,158.07","$0.17","-$33.23"
"2025-11-25 14:43:01","ENA","Close Short","Fulfill Maker","1664 ENA","0.27672","$460.46","$0.07","-$13.21"
"2025-11-25 14:43:00","ENA","Close Short","Fulfill Maker","1623 ENA","0.27672","$449.12","$0.07","-$12.89"
"2025-11-19 15:31:26","ENA","Open Short","Fulfill Maker","640 ENA","0.2645","$169.28","$0.03","-$0.03"
"2025-11-19 15:31:26","ENA","Open Short","Fulfill Maker","4261 ENA","0.2645","$1,127.03","$0.17","-$0.17"
"2025-11-19 15:31:26","ENA","Open Short","Fulfill Maker","99 ENA","0.2645","$26.19","$0","-$0"
"2025-11-19 15:29:48","ENA","Open Short","Fulfill Taker","485 ENA","0.26345","$127.77","$0.05","-$0.05"
"2025-11-19 15:27:22","ENA","Open Short","Fulfill Taker","5000 ENA","0.26319","$1,315.95","$0.53","-$0.53"
"2025-11-19 15:27:20","ENA","Open Short","Fulfill Taker","5000 ENA","0.26319","$1,315.95","$0.53","-$0.53"
"2025-11-19 11:10:34","ENA","Open Short","Fulfill Maker","1357 ENA","0.27222","$369.4","$0.06","-$0.06"
"2025-11-19 11:10:34","ENA","Open Short","Fulfill Maker","999 ENA","0.27222","$271.95","$0.04","-$0.04"
"2025-11-19 11:10:34","ENA","Open Short","Fulfill Maker","2642 ENA","0.27222","$719.21","$0.11","-$0.11"
"2025-11-19 11:10:32","ENA","Open Short","Fulfill Maker","1 ENA","0.27222","$0.27","$0","-$0"
"2025-11-19 11:10:12","ENA","Open Short","Fulfill Maker","1 ENA","0.27222","$0.27","$0","-$0"
"2025-11-19 11:08:22","ENA","Open Short","Fulfill Maker","52 ENA","0.272","$14.14","$0","-$0"
"2025-11-19 11:08:22","ENA","Open Short","Fulfill Maker","1000 ENA","0.272","$272","$0.04","-$0.04"
"2025-11-19 11:08:22","ENA","Open Short","Fulfill Maker","3948 ENA","0.272","$1,073.86","$0.16","-$0.16"
"2025-11-19 11:05:03","ENA","Open Short","Fulfill Taker","5000 ENA","0.27037","$1,351.85","$0.54","-$0.54"
"2025-11-19 10:00:01","ENA","Open Short","Fulfill Taker","5000 ENA","0.27072","$1,353.6","$0.54","-$0.54"
"2025-11-19 09:57:33","ENA","Open Short","Fulfill Taker","2267 ENA","0.27096","$614.27","$0.25","-$0.25"
"2025-11-19 09:57:33","ENA","Open Short","Fulfill Taker","2733 ENA","0.27096","$740.53","$0.3","-$0.3"
"2025-11-19 09:56:44","ENA","Open Short","Fulfill Taker","5000 ENA","0.27091","$1,354.55","$0.54","-$0.54"
"2025-11-19 09:56:20","ENA","Open Short","Fulfill Taker","4999 ENA","0.27068","$1,353.13","$0.54","-$0.54"
"2025-11-19 09:55:49","ENA","Open Short","Fulfill Maker","1 ENA","0.27134","$0.27","$0","-$0"
